left_spec_id,right_spec_id
www.ebay.com//11620,www.ebay.com//17066
www.ebay.com//11620,www.ebay.com//18840
www.ebay.com//11620,www.ebay.com//20888
www.ebay.com//11620,www.ebay.com//20923
www.ebay.com//11620,www.ebay.com//21596
www.ebay.com//11620,www.ebay.com//22417
www.ebay.com//14209,www.ebay.com//17066
www.ebay.com//14209,www.ebay.com//18840
www.ebay.com//14209,www.ebay.com//20888
www.ebay.com//14209,www.ebay.com//20923
www.ebay.com//14209,www.ebay.com//21596
www.ebay.com//14209,www.ebay.com//22417
www.ebay.com//17066,www.ebay.com//18840
www.ebay.com//17066,www.ebay.com//20888
www.ebay.com//17066,www.ebay.com//20923
www.ebay.com//17066,www.ebay.com//21596
www.ebay.com//17066,www.ebay.com//22417
www.ebay.com//18840,www.ebay.com//20888
www.ebay.com//18840,www.ebay.com//20923
www.ebay.com//18840,www.ebay.com//21596
www.ebay.com//18840,www.ebay.com//22417
www.ebay.com//20888,www.ebay.com//20923
www.ebay.com//20888,www.ebay.com//21596
www.ebay.com//20888,www.ebay.com//22417
www.ebay.com//20923,www.ebay.com//21596
www.ebay.com//20923,www.ebay.com//22417
www.ebay.com//21596,www.ebay.com//22417
